member_id	start_date	DURATION	INT_MEAN	INT_PEAK	AUC	log_SEVERITY_1	log_SEVERITY_2	MV [D,I]	COMPINDX_k3_ss404	COMPINDX_k4_ss355	COMPINDX_k5_ss372
r10i1181p1f1	1957-07-11	5	1.166	1.465	0.322	2.641645143251329	1.5260713998538513	(5, 1.166)	0	3	3
r10i1181p1f1	1957-07-26	4	1.398	1.541	1.185	2.5001236155928606	2.349468678892896	(4, 1.398)	0	3	3
r10i1181p1f1	1958-06-23	6	1.289	1.602	1.126	2.9929460792512046	2.8649828762889484	(6, 1.289)	0	3	3
r10i1181p1f1	1960-06-13	7	1.536	2.048	3.041	3.382596047807251	4.048651489884778	(7, 1.536)	1	0	1
r10i1181p1f1	1962-07-23	3	1.901	2.381	2.4	2.386731898607442	2.600521842146637	(3, 1.901)	1	1	4
r10i1181p1f1	1962-08-05	8	1.648	1.856	4.376	3.6451883270627237	4.605345938373882	(8, 1.648)	1	1	1
r10i1181p1f1	1964-08-27	4	1.322	1.612	0.883	2.448933989329183	2.0874097113290127	(4, 1.322)	0	3	3
r10i1181p1f1	1965-06-01	13	2.02	2.724	11.937	4.56102785706261	6.328852529444957	(13, 2.02)	2	2	2
r10i1181p1f1	1965-06-26	3	1.545	1.648	1.332	2.200337005711071	2.069552181132402	(3, 1.545)	1	0	0
r10i1181p1f1	1965-07-04	6	1.603	2.067	3.011	3.2010862178069748	3.812257512688926	(6, 1.603)	1	1	4
r10i1181p1f1	1967-06-19	3	1.241	1.299	0.418	2.0080026216671287	1.1543596911246021	(3, 1.241)	0	3	3
r10i1181p1f1	1967-07-05	3	1.335	1.518	0.701	2.0715181700506955	1.535253627775467	(3, 1.335)	0	3	3
r10i1181p1f1	1970-06-03	9	1.921	2.43	7.381	3.9677793256830003	5.299751337919473	(9, 1.921)	2	2	2
r10i1181p1f1	1970-06-24	6	1.959	2.118	5.147	3.394216486369456	4.3391862274012025	(6, 1.959)	2	1	4
r10i1181p1f1	1970-07-10	5	1.239	1.371	0.69	2.698164236965281	2.1649807913102306	(5, 1.239)	0	3	3
r10i1181p1f1	1970-07-18	3	1.435	1.698	1.0	2.134932860799873	1.823928522430647	(3, 1.435)	0	0	0
r10i1181p1f1	1970-08-12	6	1.524	1.961	2.536	3.152656284484222	3.644703819668885	(6, 1.524)	1	0	0
r10i1181p1f1	1970-08-25	4	1.179	1.319	0.311	2.344878005184297	1.2493285060467332	(4, 1.179)	0	3	3
r10i1181p1f1	1973-08-01	3	1.312	1.424	0.632	2.0563458755484163	1.4548797602030414	(3, 1.312)	0	3	3
r10i1181p1f1	1975-07-31	5	1.469	1.634	1.837	2.8578439343350635	3.0698320201501774	(5, 1.469)	1	0	0
r10i1181p1f1	1976-08-07	3	1.292	1.368	0.572	2.042962826728956	1.3793198924049874	(3, 1.292)	0	3	3
